energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,trans-fat_100g,cholesterol_100g,calcium_100g,iron_100g,potassium_100g,vitamin-c_100g,vitamin-a_100g,additives_n,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,ingredients_count,nutrition_grade_fr
2791.0,66.67,6.67,13.33,3.33,6.7,16.67,0.0,0.0,0.0,0.0,0.067,0.0024,0.433,0.0,0.0,1.0,0.0,0.0,2,c
2791.0,66.67,6.67,13.33,3.33,6.7,16.67,0.0,0.0,0.0,0.0,0.067,0.0024,0.433,0.0,0.0,0.0,0.0,0.0,1,c
2272.0,40.0,4.29,37.14,22.86,8.6,17.14,0.94234,0.371,0.0,0.0,0.114,0.00309,0.514,0.0,0.0,1.0,0.0,0.0,15,d
2243.0,39.29,3.57,42.86,35.71,3.6,3.57,0.99822,0.393,0.0,0.0,0.071,0.00129,0.232,0.0,0.0,1.0,0.0,0.0,9,d
2929.0,73.33,6.67,13.33,3.33,10.0,10.0,0.0,0.0,0.0,0.0,0.067,0.0024,0.417,0.0,0.0,1.0,0.0,0.0,2,c
2243.0,39.29,3.57,42.86,35.71,3.6,3.57,1.13284,0.446,0.0,0.0,0.071,0.00129,0.214,0.0,0.0,2.0,0.0,0.0,8,d
2648.0,60.0,5.0,16.67,3.33,10.0,13.33,0.0,0.0,0.0,0.0,0.133,0.0048,0.667,0.008,0.0,1.0,0.0,0.0,2,c
2372.0,43.33,8.33,30.0,6.67,3.3,16.67,0.0,0.0,0.0,0.0,0.067,0.006,0.667,0.0,0.0,0.0,0.0,0.0,1,d
2372.0,46.67,5.0,26.67,6.67,10.0,20.0,0.0,0.0,0.0,0.0,0.133,0.0036,1.033,0.004,9.99e-05,0.0,0.0,0.0,1,c
2372.0,50.0,3.33,23.33,3.33,13.3,16.67,0.0,0.0,0.0,0.0,0.267,0.0036,0.7,0.0,0.0,0.0,0.0,0.0,2,b
3067.0,76.67,11.67,13.33,3.33,10.0,6.67,0.0,0.0,0.0,0.0,0.067,0.0036,0.367,0.0,0.0,0.0,0.0,0.0,1,d
2372.0,50.0,3.33,23.33,3.33,13.3,20.0,0.0,0.0,0.0,0.0,0.267,0.0036,0.7,0.0,0.0,0.0,0.0,0.0,2,b
2540.0,57.14,5.36,17.86,3.57,10.7,17.86,0.0,0.0,0.0,0.0,0.214,0.00386,0.571,0.0,0.0,0.0,0.0,0.0,2,c
2092.0,35.71,3.57,42.86,32.14,3.6,7.14,1.13284,0.446,0.0,0.0,0.071,0.00129,0.232,0.0,0.0,2.0,0.0,0.0,8,d
2243.0,35.71,3.57,42.86,35.71,3.6,7.14,1.13284,0.446,0.0,0.0,0.071,0.00129,0.232,0.0,0.0,2.0,0.0,0.0,8,d
2389.0,46.43,8.93,28.57,7.14,3.6,17.86,0.68072,0.268,0.0,0.0,0.071,0.00643,0.643,0.0,0.0,0.0,0.0,0.0,4,d
2092.0,35.71,3.57,42.86,32.14,3.6,7.14,1.13284,0.446,0.0,0.0,0.071,0.00129,0.232,0.0,0.0,2.0,0.0,0.0,9,d
2372.0,50.0,8.33,16.67,0.0,10.0,26.67,0.04318,0.017,0.0,0.0,0.133,0.0036,0.733,0.0,0.0,0.0,0.0,0.0,1,c
1795.0,10.71,0.0,71.43,3.57,14.3,10.71,1.13284,0.446,0.0,0.0,0.0,0.00257,0.286,0.0,0.0002142,0.0,0.0,0.0,16,a
1795.0,8.93,0.0,71.43,3.57,14.3,10.71,1.54178,0.607,0.0,0.0,0.0,0.00257,0.286,0.0,0.0,1.0,0.0,0.0,10,c
1795.0,8.93,0.0,71.43,3.57,14.3,10.71,0.90678,0.357,0.0,0.0,0.0,0.00257,0.286,0.0,0.0,3.0,0.0,0.0,18,a
2540.0,46.43,7.14,42.86,0.0,7.1,7.14,2.35966,0.929,0.0,0.0,0.0,0.00129,0.179,0.0,0.0,1.0,0.0,1.0,5,e
2389.0,39.29,5.36,42.86,7.14,7.1,10.71,2.35966,0.929,0.0,0.018,0.143,0.00129,0.143,0.0,0.0,2.0,0.0,0.0,14,d
1841.0,24.0,9.33,53.33,40.0,1.3,4.0,0.98298,0.387,0.0,0.02,0.053,0.00144,0.12,0.0,3.99e-05,3.0,0.0,0.0,14,e
1674.0,3.33,0.0,83.33,13.33,3.3,6.67,1.524,0.6,0.0,0.0,0.0,0.0036,0.133,0.0,0.0,4.0,0.0,0.0,16,c
2389.0,46.43,8.93,28.57,3.57,3.6,17.86,1.08966,0.429,0.0,0.0,0.071,0.00643,0.643,0.0,0.0,0.0,0.0,0.0,6,d
