model,accuracy,precision_macro,recall_macro,f1_macro
KNN Without CV,0.8219616204690832,0.8285260216497292,0.8181479920720285,0.8228606220806081
KNN With CV,0.8656716417910447,0.8658164921948277,0.8639876957768369,0.864797520836617
